movie_id,title,genres,director,cast,keywords,overview,vote_average,vote_count,popularity,release_year,runtime,language
1601,Edge of Destiny: Part 2,Horror,Clint Eastwood,Denzel Washington Scarlett Johansson Hugh Jackman,corruption prophecy dystopia betrayal underground treasure,"When a young prodigy discovers a hidden identity, they are drawn into a chilling world of a magical realm.",4.4,25675,3.92,2001,160,de
1602,Dark Covenant: Part 1,Adventure,Joel Coen,Daniel Day-Lewis Ryan Gosling Jennifer Lawrence,election conspiracy vampire dystopia hacker snow,"When an exiled warrior discovers a hidden identity, they are drawn into a mysterious world of a distant galaxy.",5.8,59,14.27,1989,195,es
1603,Shadow of Eclipse: Part 1,Thriller Romance,Darren Aronofsky,Jake Gyllenhaal Emma Stone Will Smith,spy revolution forest mystery ocean mutation zombie,"In a heart-breaking tale of power and corruption, a hardened detective confronts a catastrophic event that will test their very soul.",7.5,33484,75.84,2006,106,ja
1604,A Specter 5,Horror Biography Sci-Fi,Alfonso Cuaron,Arnold Schwarzenegger Tom Cruise Jack Nicholson,betrayal dragon mutation,"In a mysterious tale of power and corruption, an exiled warrior confronts a deadly conspiracy that will test their very soul.",7.0,47412,15.53,2003,132,en
1605,Rise of Ghost: Part 3,Fantasy Action Crime,Joel Coen,Daniel Day-Lewis Jack Nicholson Samuel L. Jackson,dragon time travel corruption family,"When a lone hero discovers an ancient prophecy, they are drawn into a heart-breaking world of a war-torn land.",7.8,33837,52.99,2014,167,ko
1606,Shadow of Labyrinth 2,Sport Western Drama Biography,Darren Aronofsky,Russell Crowe Al Pacino Emma Stone,heist city alien betrayal cult detective,"In a mysterious tale of justice and revenge, a lone hero confronts an unstoppable force that will test their very soul.",4.1,41980,98.15,1974,147,ko
1607,Last Revelation: Part 2,Thriller,Ridley Scott,Natalie Portman Jared Leto Jack Nicholson,treasure sword mutation snow mystery city zombie,A action-packed two unlikely allies must save their family before a catastrophic event destroys everything they hold dear.,5.4,26580,65.57,2005,129,es
1608,A Labyrinth 2,Horror,Clint Eastwood,Anthony Hopkins Charlize Theron Samuel L. Jackson,robot dystopia chase prophecy ocean zombie vampire,"Set in a war-torn land, the film follows an exiled warrior as they navigate impossible odds and uncover a long-buried secret.",8.2,14645,77.95,1985,107,de
1609,Final Empire 2,Western,Quentin Tarantino,Dustin Hoffman Leonardo DiCaprio Mark Wahlberg,snow chase mystery,"In a chilling tale of justice and revenge, an exiled warrior confronts an ancient evil that will test their very soul.",5.7,36326,20.45,1995,188,de
1610,Rise of Phantom: Part 3,Animation Adventure,Martin Scorsese,Denzel Washington Emma Stone Natalie Portman,underground time travel hacker betrayal prison gun,an exiled warrior embarks on a chilling journey through a distant galaxy to stop an unstoppable force once and for all.,4.5,31513,1.18,1997,143,ko
1611,Dark Eclipse 3,Sci-Fi Drama Family,Ethan Coen,Bruce Willis Jack Nicholson Arnold Schwarzenegger,election spy snow conspiracy mutation superhero desert,"Set in a post-apocalyptic city, the film follows a hardened detective as they navigate political intrigue and uncover a forgotten past.",9.1,12763,75.41,2020,127,hi
1612,Eternal Sentinel,Horror Western,Tim Burton,Harrison Ford Emma Stone Morgan Freeman,hacker revolution mystery prophecy alien friendship,two unlikely allies embarks on a action-packed journey through a post-apocalyptic city to stop a deadly conspiracy once and for all.,9.1,14175,51.65,2016,150,ja
1613,The Prophecy 4,Animation Thriller Sport Adventure,Guy Ritchie,Joaquin Phoenix Arnold Schwarzenegger Brad Pitt,survival corruption war love,"Set in a post-apocalyptic city, the film follows a hardened detective as they navigate impossible odds and uncover a long-buried secret.",8.5,18020,21.91,1985,128,en
1614,Rise of Infinity,Comedy,Martin Scorsese,Charlize Theron Meryl Streep Anthony Hopkins,virus clone mutation magic sword,A chilling a young prodigy must unite the factions before an ancient evil destroys everything they hold dear.,7.3,4405,24.26,1988,83,es
1615,Return of Destiny 3,Sport Drama Sci-Fi,Christopher Nolan,Anthony Hopkins Tom Hanks Robert De Niro,treasure love revenge redemption dystopia detective,"In a desperate tale of justice and revenge, an exiled warrior confronts a catastrophic event that will test their very soul.",7.5,12869,65.87,2008,138,fr
1616,Lost Kingdom 2,Comedy,Alfonso Cuaron,Tom Cruise Emma Stone Tom Hanks,spy zombie space snow corruption,an exiled warrior embarks on a action-packed journey through a war-torn land to stop an ancient evil once and for all.,5.5,18155,55.59,2014,117,de
1617,Rise of Warrior: Part 3,Documentary Musical,Steven Spielberg,Emma Stone Mark Wahlberg Cate Blanchett,redemption clone sword,"When two unlikely allies discovers a long-buried secret, they are drawn into a heart-breaking world of a magical realm.",4.4,26031,81.62,1995,138,es
1618,The Prophecy: Part 1,History Sci-Fi Family,Robert Zemeckis,Brad Pitt Scarlett Johansson Tom Cruise,journey robot gun love survival conspiracy treasure,a hardened detective embarks on a thrilling journey through a war-torn land to stop a catastrophic event once and for all.,7.9,35723,5.46,2000,78,fr
1619,A Prophecy: Part 3,History Romance Drama,Sam Raimi,Morgan Freeman Samuel L. Jackson Scarlett Johansson,chase dragon betrayal vampire journey war gun,"Set in a post-apocalyptic city, the film follows a lone hero as they navigate political intrigue and uncover an ancient prophecy.",4.6,46607,84.61,1994,84,es
1620,A Storm: Part 2,Musical Comedy Crime,Bryan Singer,Tom Cruise Scarlett Johansson Arnold Schwarzenegger,love gun prison,"Set in a distant galaxy, the film follows a hardened detective as they navigate impossible odds and uncover a forgotten past.",8.6,28319,8.75,1987,87,fr
1621,Lost Specter 2,Comedy,Martin Scorsese,Natalie Portman Arnold Schwarzenegger Keanu Reeves,journey survival hacker city,"Set in a distant galaxy, the film follows a young prodigy as they navigate moral dilemmas and uncover a long-buried secret.",5.6,5819,91.77,2024,156,en
1622,The Empire: Part 1,Fantasy Action,Martin Scorsese,Benedict Cumberbatch Samuel L. Jackson Daniel Day-Lewis,dystopia ocean clone forest chase superhero,"When an exiled warrior discovers a forgotten past, they are drawn into a thrilling world of a crime-ridden metropolis.",5.3,18501,39.92,1980,97,hi
1623,Age of Legend: Part 2,Mystery,David Fincher,Arnold Schwarzenegger Anthony Hopkins Leonardo DiCaprio,virus ocean love family alien,a lone hero embarks on a chilling journey through a distant galaxy to stop an unstoppable force once and for all.,9.2,32282,18.73,1971,164,ja
1624,Dawn of Titan,Romance,JJ Abrams,Al Pacino Charlize Theron Samuel L. Jackson,conspiracy redemption ocean dystopia clone revolution dragon,"Set in a distant galaxy, the film follows a hardened detective as they navigate a personal crisis and uncover a forgotten past.",7.4,9261,14.64,2000,100,fr
1625,War of Frontier: Part 2,Documentary War Sport Adventure,Bryan Singer,Denzel Washington Tom Hanks Ryan Gosling,betrayal mutation chase zombie forest time travel revenge,"When a hardened detective discovers an ancient prophecy, they are drawn into a chilling world of a crime-ridden metropolis.",8.1,16055,11.56,1993,197,hi
1626,Fall of Guardian,Adventure Crime,Tim Burton,Robert De Niro Keanu Reeves Tom Hanks,heist detective betrayal,"Set in a crime-ridden metropolis, the film follows a hardened detective as they navigate impossible odds and uncover a long-buried secret.",7.5,32960,68.11,2013,78,hi
1627,Return of Kingdom 4,Family Biography History Western,Sam Raimi,Will Smith Charlize Theron Jared Leto,snow mutation corruption betrayal clone detective space,A mysterious a young prodigy must uncover the truth before an unstoppable force destroys everything they hold dear.,7.9,46354,40.88,1983,147,es
1628,Eternal Sentinel 3,Fantasy Crime,David Fincher,Geoffrey Rush Al Pacino Natalie Portman,detective heist desert betrayal,"In a mysterious tale of identity and belonging, an exiled warrior confronts a catastrophic event that will test their very soul.",4.2,7552,12.09,2003,178,ko
1629,Kingdom of Kingdom,Romance History Sci-Fi,Christopher Nolan,Will Smith Jared Leto Natalie Portman,detective city zombie corruption,"Set in a magical realm, the film follows an exiled warrior as they navigate moral dilemmas and uncover a forgotten past.",8.5,30307,65.05,2001,119,hi
1630,Shadow of Empire: Part 2,Musical Horror Adventure,Steven Spielberg,Ryan Gosling Sylvester Stallone Scarlett Johansson,hacker journey alien family corruption spy underground,a young prodigy embarks on a thrilling journey through a crime-ridden metropolis to stop a deadly conspiracy once and for all.,8.2,48194,46.4,1977,143,ja
1631,Broken Warrior 2,Mystery Musical Comedy Drama,Darren Aronofsky,Emma Stone Meryl Streep Charlize Theron,revolution underground hacker chase clone,A chilling a young prodigy must unite the factions before an ancient evil destroys everything they hold dear.,7.5,24513,34.4,1983,78,en
1632,Dark Infinity 3,Crime,Stanley Kubrick,Will Smith Charlize Theron Daniel Day-Lewis,revenge clone zombie sword,a young prodigy embarks on a heart-breaking journey through a post-apocalyptic city to stop a shadowy organisation once and for all.,5.9,42368,91.6,1980,116,hi
1633,Last Infinity: Part 2,Thriller Mystery Crime,Tony Scott,Jared Leto Natalie Portman Ryan Gosling,detective underground corruption robot conspiracy,"When a lone hero discovers a long-buried secret, they are drawn into a thrilling world of a crime-ridden metropolis.",6.3,37460,41.18,1999,95,es
1634,Forgotten Phoenix,History Western Thriller,Steven Spielberg,Jack Nicholson Benedict Cumberbatch Mark Wahlberg,underground alien ocean survival,A action-packed two unlikely allies must save their family before an ancient evil destroys everything they hold dear.,5.1,11805,6.86,2016,75,es
1635,Rise of Dragon 5,Mystery,Tony Scott,Russell Crowe Liam Neeson Scarlett Johansson,revolution space magic detective city,"Set in a post-apocalyptic city, the film follows a hardened detective as they navigate impossible odds and uncover a long-buried secret.",7.0,24645,49.68,2017,79,de
1636,Last Prophecy 2,Comedy Sci-Fi Biography,JJ Abrams,Will Smith Anthony Hopkins Benedict Cumberbatch,dystopia treasure snow,"Set in a magical realm, the film follows a lone hero as they navigate impossible odds and uncover an ancient prophecy.",6.7,3108,90.31,1983,85,hi
1637,A Labyrinth,Sport Western,Tim Burton,Jack Nicholson Dustin Hoffman Emma Stone,sword vampire city cult prison alien prophecy,"In a desperate tale of courage and sacrifice, a lone hero confronts a deadly conspiracy that will test their very soul.",9.0,33862,6.68,1976,83,hi
1638,Hidden Dragon: Part 1,Drama History,Peter Jackson,Angelina Jolie Denzel Washington Ryan Gosling,chase cult dystopia survival,"Set in a magical realm, the film follows an exiled warrior as they navigate a personal crisis and uncover a shocking truth.",7.0,39991,40.51,1986,127,en
1639,Fall of Prophecy 4,Western War,Peter Jackson,Tom Cruise Daniel Day-Lewis Anthony Hopkins,friendship magic heist corruption forest betrayal,"In a action-packed tale of courage and sacrifice, a lone hero confronts a deadly conspiracy that will test their very soul.",9.3,28051,66.54,2011,158,de
1640,Silent Horizon: Part 3,Horror,David Fincher,Sylvester Stallone Samuel L. Jackson Brad Pitt,virus revolution desert chase,A heart-breaking a lone hero must save their family before a catastrophic event destroys everything they hold dear.,8.5,49399,28.15,2012,109,hi
1641,Forgotten Revelation: Part 2,Animation Family Adventure,Tony Scott,Jared Leto Jennifer Lawrence Hugh Jackman,zombie election city cult,a lone hero embarks on a desperate journey through a crime-ridden metropolis to stop a deadly conspiracy once and for all.,5.9,46673,17.97,1999,97,hi
1642,Kingdom of Empire 5,Crime Family,Robert Zemeckis,Dustin Hoffman Ryan Gosling Charlize Theron,prophecy journey betrayal dragon,"In a heart-breaking tale of identity and belonging, a young prodigy confronts an ancient evil that will test their very soul.",4.9,43951,26.58,1993,182,ja
1643,Dawn of Wolf 3,History,David Fincher,Tom Cruise Bruce Willis Arnold Schwarzenegger,city clone heist space,a young prodigy embarks on a thrilling journey through a distant galaxy to stop an unstoppable force once and for all.,7.0,1500,48.65,1993,128,de
1644,Broken Kingdom,Biography Romance,Christopher Nolan,Jack Nicholson Tom Cruise Benedict Cumberbatch,family mystery love,an exiled warrior embarks on a thrilling journey through a distant galaxy to stop a shadowy organisation once and for all.,4.8,7354,22.38,2000,111,es
1645,Lost Redemption 4,Documentary Biography Thriller,Guy Ritchie,Christian Bale Jack Nicholson Hugh Jackman,city sword conspiracy detective,"When a lone hero discovers a forgotten past, they are drawn into a heart-breaking world of a post-apocalyptic city.",7.4,6919,63.43,2012,128,en
1646,Age of Legend: Part 3,Horror,Christopher Nolan,Jack Nicholson Harrison Ford Keanu Reeves,zombie underground robot family corruption dystopia,"When a young prodigy discovers an ancient prophecy, they are drawn into a thrilling world of a magical realm.",5.3,8822,69.26,2015,165,es
1647,Final Titan 3,Fantasy Crime Mystery,Steven Spielberg,Johnny Depp Jared Leto Jack Nicholson,vampire zombie sword underground journey ocean revenge,A chilling a young prodigy must uncover the truth before an ancient evil destroys everything they hold dear.,5.0,19459,83.49,2020,116,en
1648,Broken Raven: Part 2,Mystery,Joel Coen,Samuel L. Jackson Jennifer Lawrence Ryan Gosling,city election corruption mystery betrayal redemption conspiracy,A thrilling two unlikely allies must stop the villain before a deadly conspiracy destroys everything they hold dear.,7.2,5769,54.2,1995,117,de
1649,Age of Origin 2,Romance Family Animation Sci-Fi,Joel Coen,Benedict Cumberbatch Daniel Day-Lewis Mark Wahlberg,friendship zombie magic vampire forest family,"Set in a magical realm, the film follows an exiled warrior as they navigate moral dilemmas and uncover an ancient prophecy.",8.1,12967,88.85,1986,199,fr
1650,Eternal Warrior 5,Comedy Biography,Francis Ford Coppola,Bruce Willis Meryl Streep Ryan Gosling,robot revenge zombie election,"Set in a war-torn land, the film follows a lone hero as they navigate political intrigue and uncover a shocking truth.",4.2,15292,26.48,1983,88,es
1651,Kingdom of Prophecy: Part 3,Action History Drama,Peter Jackson,Denzel Washington Bruce Willis Johnny Depp,corruption time travel detective,"Set in a crime-ridden metropolis, the film follows two unlikely allies as they navigate impossible odds and uncover a shocking truth.",7.8,5151,60.94,2010,198,en
1652,Broken Abyss 3,Biography,Darren Aronofsky,Benedict Cumberbatch Russell Crowe Anthony Hopkins,election robot survival city,an exiled warrior embarks on a thrilling journey through a war-torn land to stop a catastrophic event once and for all.,9.1,19949,35.31,1977,161,ja
1653,Return of Warrior: Part 2,Romance Musical,Zack Snyder,Dustin Hoffman Tom Cruise Johnny Depp,time travel superhero desert dystopia revenge,"When an exiled warrior discovers a shocking truth, they are drawn into a thrilling world of a distant galaxy.",8.7,5406,43.68,1997,180,en
1654,The Odyssey 3,Crime,Stanley Kubrick,Scarlett Johansson Bruce Willis Leonardo DiCaprio,hacker ocean superhero betrayal zombie revenge,"In a action-packed tale of courage and sacrifice, an exiled warrior confronts an ancient evil that will test their very soul.",9.4,27980,45.18,1979,184,en
1655,War of Covenant 4,Comedy,Zack Snyder,Ryan Gosling Angelina Jolie Charlize Theron,heist underground dystopia time travel,A heart-breaking a young prodigy must stop the villain before a deadly conspiracy destroys everything they hold dear.,8.7,17866,5.84,2008,186,es
1656,Lost Covenant 5,Western Thriller Adventure,JJ Abrams,Cate Blanchett Al Pacino Scarlett Johansson,space revolution friendship virus,"Set in a war-torn land, the film follows two unlikely allies as they navigate a personal crisis and uncover a shocking truth.",4.9,49577,52.76,1982,89,fr
1657,Lost Judgment,Drama Romance Sport,Sam Raimi,Angelina Jolie Jack Nicholson Daniel Day-Lewis,hacker chase desert,"When a hardened detective discovers a forgotten past, they are drawn into a action-packed world of a magical realm.",7.9,45770,98.84,1984,137,ko
1658,Return of Raven,Comedy Animation Western Family,Darren Aronofsky,Jake Gyllenhaal Angelina Jolie Harrison Ford,hacker dystopia space vampire family,"Set in a crime-ridden metropolis, the film follows a young prodigy as they navigate unexpected betrayals and uncover a forgotten past.",7.3,35316,41.89,2020,177,en
1659,Edge of Labyrinth 3,Horror Comedy Western,JJ Abrams,Harrison Ford Jack Nicholson Natalie Portman,redemption corruption sword heist,"Set in a post-apocalyptic city, the film follows a lone hero as they navigate unexpected betrayals and uncover an ancient prophecy.",6.5,25568,15.56,1979,145,de
1660,Dawn of Specter,Documentary Biography Western,Tony Scott,Tom Hanks Tom Cruise Angelina Jolie,chase snow forest spy friendship,"In a chilling tale of love and loss, a young prodigy confronts an unstoppable force that will test their very soul.",7.2,25951,70.7,1992,173,hi
1661,Broken Eclipse 5,Horror,Martin Scorsese,Robert De Niro Sylvester Stallone Morgan Freeman,robot sword election magic friendship gun mutation,"Set in a magical realm, the film follows two unlikely allies as they navigate unexpected betrayals and uncover a long-buried secret.",4.2,48290,10.27,1998,107,ko
1662,Shadow of Titan 2,Mystery Crime Fantasy,Stanley Kubrick,Arnold Schwarzenegger Tom Cruise Jack Nicholson,journey virus cult,"Set in a crime-ridden metropolis, the film follows a hardened detective as they navigate a personal crisis and uncover a forgotten past.",8.5,15247,20.36,2022,195,fr
1663,Kingdom of Dragon 3,Adventure Sport,James Cameron,Cate Blanchett Al Pacino Harrison Ford,heist snow friendship,"In a chilling tale of power and corruption, a hardened detective confronts an unstoppable force that will test their very soul.",5.3,19098,92.8,1977,198,es
1664,Lost Warrior 3,Thriller,Bryan Singer,Tom Cruise Anthony Hopkins Denzel Washington,betrayal treasure forest chase,a lone hero embarks on a desperate journey through a magical realm to stop an unstoppable force once and for all.,7.1,26206,99.73,2013,136,en
1665,Broken Chronicle 5,Animation,Zack Snyder,Tom Cruise Charlize Theron Cate Blanchett,zombie treasure city superhero gun sword,"In a thrilling tale of power and corruption, a hardened detective confronts a shadowy organisation that will test their very soul.",4.8,14826,7.96,2010,119,ja
1666,A Legend: Part 3,Biography Crime History,Robert Zemeckis,Joaquin Phoenix Jack Nicholson Hugh Jackman,dystopia superhero sword clone redemption war forest,"In a thrilling tale of justice and revenge, two unlikely allies confronts an unstoppable force that will test their very soul.",8.5,49924,30.25,2012,81,hi
1667,Final Frontier: Part 2,Fantasy Sport,Alfonso Cuaron,Geoffrey Rush Charlize Theron Emma Stone,war betrayal love election,A chilling a hardened detective must uncover the truth before a catastrophic event destroys everything they hold dear.,7.3,306,45.21,1973,121,en
1668,War of Labyrinth: Part 1,Documentary Comedy,Guy Ritchie,Mark Wahlberg Samuel L. Jackson Emma Stone,virus friendship magic space journey hacker treasure,"When a lone hero discovers a shocking truth, they are drawn into a action-packed world of a post-apocalyptic city.",8.0,15093,64.35,1978,140,hi
1669,Dark Kingdom 3,Family Mystery,Joel Coen,Mark Wahlberg Jennifer Lawrence Charlize Theron,robot snow detective,"In a desperate tale of love and loss, a lone hero confronts an unstoppable force that will test their very soul.",8.4,10428,35.55,1999,124,es
1670,Return of Titan 2,Thriller Documentary Comedy,Ethan Coen,Harrison Ford Natalie Portman Angelina Jolie,space dragon zombie clone virus ocean city,"Set in a war-torn land, the film follows two unlikely allies as they navigate a personal crisis and uncover a shocking truth.",4.2,48151,57.12,1989,84,hi
1671,Eternal Infinity 4,Drama Western Sport Documentary,Alfonso Cuaron,Benedict Cumberbatch Cate Blanchett Arnold Schwarzenegger,prophecy snow corruption cult desert,a hardened detective embarks on a heart-breaking journey through a crime-ridden metropolis to stop a deadly conspiracy once and for all.,6.2,23993,94.17,1973,125,es
1672,Last Prophecy: Part 2,Mystery Thriller,Clint Eastwood,Samuel L. Jackson Leonardo DiCaprio Natalie Portman,snow journey forest virus,"In a action-packed tale of identity and belonging, a hardened detective confronts an unstoppable force that will test their very soul.",8.6,45441,95.25,1994,103,ja
1673,Final Abyss: Part 1,Comedy Thriller Crime,Paul Thomas Anderson,Samuel L. Jackson Emma Stone Leonardo DiCaprio,war clone virus alien,"When two unlikely allies discovers a shocking truth, they are drawn into a heart-breaking world of a war-torn land.",7.2,44089,72.42,1986,164,hi
1674,Forgotten Warrior 4,War Biography Animation,Denis Villeneuve,Johnny Depp Christian Bale Dustin Hoffman,family ocean dragon hacker superhero,two unlikely allies embarks on a heart-breaking journey through a crime-ridden metropolis to stop a catastrophic event once and for all.,7.5,39564,68.57,2023,171,en
1675,Return of Chronicle: Part 2,Crime Family Sport,Sam Raimi,Bruce Willis Jennifer Lawrence Al Pacino,love sword survival betrayal,a young prodigy embarks on a desperate journey through a magical realm to stop an unstoppable force once and for all.,4.4,39845,42.9,1983,129,hi
1676,Last Sacrifice,Family Biography Romance,Paul Thomas Anderson,Liam Neeson Harrison Ford Scarlett Johansson,space hacker family alien redemption,A chilling a hardened detective must save their family before an ancient evil destroys everything they hold dear.,5.0,41153,92.7,1996,116,de
1677,Final Destiny: Part 1,Musical Comedy Mystery,Robert Zemeckis,Matt Damon Dustin Hoffman Morgan Freeman,detective chase ocean underground revolution love clone,a lone hero embarks on a mysterious journey through a war-torn land to stop an ancient evil once and for all.,5.2,23973,81.81,1980,179,ja
1678,Silent Wolf 5,War Romance Sport,Ridley Scott,Sylvester Stallone Samuel L. Jackson Morgan Freeman,gun virus magic mutation desert hacker,A heart-breaking a young prodigy must unite the factions before a catastrophic event destroys everything they hold dear.,8.7,42320,18.63,1997,90,en
1679,The Phoenix,Action Horror,Alfonso Cuaron,Daniel Day-Lewis Joaquin Phoenix Matt Damon,mystery detective journey hacker vampire,a young prodigy embarks on a heart-breaking journey through a crime-ridden metropolis to stop a shadowy organisation once and for all.,7.8,17651,59.63,1975,106,ko
1680,War of Alliance: Part 1,Fantasy Biography,Zack Snyder,Jennifer Lawrence Denzel Washington Harrison Ford,revenge family superhero alien,"Set in a magical realm, the film follows a young prodigy as they navigate moral dilemmas and uncover a long-buried secret.",6.7,39482,42.21,1985,170,ja
1681,Dawn of Dragon: Part 1,Documentary Adventure,Joel Coen,Arnold Schwarzenegger Ryan Gosling Will Smith,corruption prison treasure,"Set in a distant galaxy, the film follows two unlikely allies as they navigate unexpected betrayals and uncover a forgotten past.",4.5,16788,59.03,2000,89,hi
1682,Edge of Legend: Part 3,History Musical,Ridley Scott,Christian Bale Meryl Streep Johnny Depp,survival heist prophecy spy revenge superhero,"In a mysterious tale of justice and revenge, a hardened detective confronts a catastrophic event that will test their very soul.",8.1,31048,57.82,1991,165,hi
1683,Rise of Hunter: Part 2,Documentary Adventure,Quentin Tarantino,Emma Stone Ryan Gosling Jack Nicholson,virus desert dragon ocean prison city,"When a lone hero discovers a long-buried secret, they are drawn into a desperate world of a post-apocalyptic city.",4.2,9022,94.56,2022,91,de
1684,The Labyrinth 5,Drama Sci-Fi Crime,Joel Coen,Anthony Hopkins Christian Bale Matt Damon,dystopia survival clone revenge,A thrilling a hardened detective must uncover the truth before an unstoppable force destroys everything they hold dear.,4.1,8739,82.17,1975,182,hi
1685,Age of Horizon 4,Family Western Crime,Alfonso Cuaron,Cate Blanchett Samuel L. Jackson Ryan Gosling,prison cult journey,"Set in a magical realm, the film follows a lone hero as they navigate unexpected betrayals and uncover a hidden identity.",7.2,17278,81.52,1990,87,hi
1686,Eternal Frontier 4,Biography Musical History,Quentin Tarantino,Cate Blanchett Jennifer Lawrence Denzel Washington,magic conspiracy prophecy revolution city,"Set in a magical realm, the film follows a hardened detective as they navigate political intrigue and uncover a forgotten past.",5.3,5437,48.09,2005,112,fr
1687,Edge of Infinity: Part 2,Family Drama,Stanley Kubrick,Sylvester Stallone Bruce Willis Christian Bale,heist ocean journey robot alien mutation,A thrilling a hardened detective must stop the villain before a shadowy organisation destroys everything they hold dear.,5.0,31166,14.61,1984,199,hi
1688,Shadow of Sentinel 2,Family,Stanley Kubrick,Charlize Theron Harrison Ford Bruce Willis,election friendship snow,"When two unlikely allies discovers a forgotten past, they are drawn into a thrilling world of a war-torn land.",5.2,24483,16.77,1970,142,de
1689,War of Titan,History,Zack Snyder,Meryl Streep Angelina Jolie Johnny Depp,dragon treasure space,an exiled warrior embarks on a action-packed journey through a post-apocalyptic city to stop an ancient evil once and for all.,7.4,11934,56.57,2001,179,ko
1690,War of Phantom: Part 1,Thriller,Tim Burton,Tom Cruise Daniel Day-Lewis Jennifer Lawrence,vampire corruption prison sword election,"In a chilling tale of love and loss, a lone hero confronts a deadly conspiracy that will test their very soul.",8.6,37084,67.82,1983,98,de
1691,The Alliance,Drama Fantasy Crime Musical,Gore Verbinski,Keanu Reeves Leonardo DiCaprio Liam Neeson,alien corruption journey mystery conspiracy superhero,a lone hero embarks on a chilling journey through a post-apocalyptic city to stop an ancient evil once and for all.,6.7,35419,94.3,1997,194,ja
1692,Shadow of Infinity 4,Romance Adventure Comedy War,Steven Spielberg,Angelina Jolie Meryl Streep Cate Blanchett,robot chase underground,"In a desperate tale of justice and revenge, a lone hero confronts a shadowy organisation that will test their very soul.",8.6,24160,10.12,1972,77,fr
1693,Broken Odyssey 3,Animation Sport Horror Romance,Clint Eastwood,Robert De Niro Joaquin Phoenix Keanu Reeves,zombie revenge gun,A action-packed two unlikely allies must save their family before a deadly conspiracy destroys everything they hold dear.,8.5,6169,14.8,2012,141,en
1694,Lost Ghost 5,Sci-Fi,Darren Aronofsky,Samuel L. Jackson Cate Blanchett Geoffrey Rush,election space alien robot,a hardened detective embarks on a thrilling journey through a crime-ridden metropolis to stop a deadly conspiracy once and for all.,5.2,5087,43.82,1975,113,de
1695,Rise of Kingdom 3,Romance Musical,Ridley Scott,Harrison Ford Mark Wahlberg Denzel Washington,snow underground forest magic alien,"In a chilling tale of power and corruption, a young prodigy confronts an ancient evil that will test their very soul.",4.1,23358,99.51,1991,195,fr
1696,Lost Horizon,Family Thriller Horror,James Cameron,Angelina Jolie Cate Blanchett Dustin Hoffman,prophecy friendship forest family spy mystery,A action-packed a young prodigy must stop the villain before a shadowy organisation destroys everything they hold dear.,9.0,14606,7.84,1997,80,en
1697,Rise of Covenant: Part 1,Documentary Animation Comedy,Paul Thomas Anderson,Jennifer Lawrence Meryl Streep Will Smith,love redemption space war election,"Set in a distant galaxy, the film follows a young prodigy as they navigate unexpected betrayals and uncover a forgotten past.",6.9,33586,24.86,2003,166,ko
1698,Forgotten Specter: Part 2,War Family Biography Horror,James Cameron,Charlize Theron Cate Blanchett Denzel Washington,mutation friendship corruption detective forest treasure alien,"In a heart-breaking tale of justice and revenge, a young prodigy confronts a catastrophic event that will test their very soul.",4.3,45452,89.09,1998,141,hi
1699,The Revelation: Part 3,Romance Comedy War,Ethan Coen,Dustin Hoffman Keanu Reeves Denzel Washington,desert mystery betrayal mutation sword,two unlikely allies embarks on a action-packed journey through a magical realm to stop a catastrophic event once and for all.,4.1,603,72.66,2016,176,ja
1700,The Empire 4,Comedy Biography Documentary,Sam Raimi,Anthony Hopkins Cate Blanchett Robert De Niro,detective snow cult,"Set in a magical realm, the film follows a lone hero as they navigate unexpected betrayals and uncover a shocking truth.",5.5,4692,96.07,1999,84,hi
1701,Hidden Dragon 3,Family,Francis Ford Coppola,Johnny Depp Liam Neeson Scarlett Johansson,chase gun friendship dragon election mystery,"When two unlikely allies discovers a forgotten past, they are drawn into a mysterious world of a magical realm.",7.4,32184,31.64,1973,85,en
1702,Age of Wolf: Part 2,Sci-Fi Animation Sport Action,Alejandro Inarritu,Johnny Depp Leonardo DiCaprio Liam Neeson,superhero chase survival love cult,A desperate a lone hero must stop the villain before a shadowy organisation destroys everything they hold dear.,7.9,36724,83.05,2009,80,de
1703,Dark Covenant: Part 2,Action,Darren Aronofsky,Joaquin Phoenix Samuel L. Jackson Jake Gyllenhaal,treasure mystery betrayal survival heist prison corruption,A desperate a young prodigy must save their family before a shadowy organisation destroys everything they hold dear.,4.6,25028,26.47,1978,191,ja
1704,Forgotten Abyss 5,Crime Comedy Animation Biography,Christopher Nolan,Ryan Gosling Jennifer Lawrence Scarlett Johansson,hacker forest time travel survival alien,"Set in a crime-ridden metropolis, the film follows two unlikely allies as they navigate a personal crisis and uncover a shocking truth.",4.3,45618,47.19,1992,154,hi
1705,Rise of Titan: Part 1,Mystery Musical History Western,Stanley Kubrick,Matt Damon Tom Cruise Ryan Gosling,robot war city,A chilling two unlikely allies must unite the factions before a shadowy organisation destroys everything they hold dear.,6.3,27923,83.34,2020,179,es
1706,Silent Frontier: Part 1,Sport Action Biography Drama,Zack Snyder,Morgan Freeman Brad Pitt Natalie Portman,snow spy survival gun forest desert city,"In a mysterious tale of identity and belonging, two unlikely allies confronts a deadly conspiracy that will test their very soul.",9.2,20489,84.59,2008,83,ko
